locationID;Latitude;Longitud
ADK;51.87805556;-176.6461111
AKK;56.93861111;-154.1825
Z13;60.90472222;-161.4225
AKI;60.90277778;-161.2305556
AUK;62.68;-164.66
5A8;59.2825;-158.6177778
4AK7;59.28083333;-158.5972222
Z25;59.26305556;-158.5577778
6A8;66.55194444;-152.6222222
AFM;67.10638889;-157.8575
AK80;65.10166667;-151.1775
AKP;68.13361111;-151.7433333
AK00;59.79666667;-151.8633333
00AK;59.85611111;-151.6963889
A13;61.34138889;-148.9988889
CSR;61.15861111;-149.7805556
EDF;61.25138889;-149.8063889
6AK5;61.16833333;-150.1605556
AK12;61.10666667;-149.8641667
Z41;61.18694444;-149.9652778
MRI;61.21361111;-149.8444444
AA05;61.50777778;-149.0783333
AA06;61.28972222;-149.8061111
9AK5;61.11638889;-149.8188889
ANC;61.17444444;-149.9963889
ANI;61.58166667;-159.5430556
ANN;55.0425;-131.5722222
ANV;62.64666667;-160.1905556
ARC;68.11472222;-145.5794444
AKA;52.22027778;-174.2063889
4A2;60.86666667;-162.2730556
ATK;70.46722222;-157.4358333
ATU;52.82833333;-173.1802778
BRW;71.28555556;-156.7661111
BTI;70.13388889;-143.5819444
Z47;64.67972222;-165.2997222
AK02;65.54;-161.0625
Z48;63.57166667;-156.1441667
Z52;56.03666667;-160.2661111
WBQ;66.36222222;-147.4066667
BLG;61.17222222;-151.0438889
BET;60.77972222;-161.8380556
BTT;66.91388889;-151.5291667
BGQ;61.53611111;-149.8138889
9AK7;61.58972222;-149.8166667
08AK;61.56972222;-149.7244444
AK86;61.57361111;-149.9113889
63AK;61.58444444;-149.9380556
20AK;61.50388889;-149.8961111
AK95;61.57027778;-149.7791667
09AK;61.58944444;-149.8472222
37AK;59.36111111;-155.2588889
Z91;66.27388889;-145.8241667
BCV;61.41611111;-149.5083333
5BK;63.53527778;-145.8608333
AK97;60.42305556;-146.1458333
BYA;64.07833333;-141.1133333
KTS;65.33138889;-166.4658333
AK98;65.63861111;-167.4858333
BVK;65.98166667;-161.1491667
AK75;65.90777778;-161.9263889
TTW;63.39111111;-148.9555556
15AK;63.37055556;-148.8502778
LUR;68.875;-166.11
EHM;58.64638889;-162.0627778
CZF;61.78111111;-166.0394444
26AK;54.5825;-164.9144444
CEM;65.57388889;-144.7808333
CIK;66.645;-143.74
5CD;68.06555556;-149.5797222
WCR;67.50444444;-148.4833333
CFK;60.14916667;-164.2855556
AK13;65.05194444;-146.0475
C05;60.07722222;-147.9919444
VAK;61.54083333;-165.6008333
CKX;64.07138889;-141.9522222
AJC;56.31138889;-158.3733333
KCL;56.31111111;-158.5341667
A79;56.255;-158.7752778
CZN;62.07111111;-142.0483333
CZO;62.56333333;-144.6688889
CXC;61.58277778;-144.4272222
9A3;61.57916667;-159.2155556
AK24;61.41805556;-149.4391667
CRC;65.82777778;-144.0761111
CHP;65.48555556;-144.6108333
CLP;58.83361111;-158.5294444
Z84;64.30111111;-149.12
CLF;64.25694444;-149.1861111
Z86;63.02666667;-147.1786111
CDB;55.20611111;-162.7255556
1AK3;56.00611111;-160.5608333
CXF;67.25222222;-150.2038889
KCR;63.56777778;-155.9891667
JLA;60.48277778;-149.7188889
Z93;61.94111111;-145.2941667
CKU;60.54388889;-145.7266667
CDV;60.49166667;-145.4775
AK30;60.39111111;-146.0975
K29;64.89777778;-163.7033333
1AK1;67.37277778;-152.0161111
CJX;61.86777778;-158.135
1AK2;62.40083333;-146.0133333
DCK;66.94333333;-156.9047222
AK15;70.34416667;-150.9447222
AK78;70.1375;-147.0305556
SCC;70.19472222;-148.4652778
22AK;70.42833333;-150.4027778
4AK1;70.00388889;-153.0775
AA50;70.18111111;-146.3502778
DEE;66.06944444;-162.7663889
AK77;63.94138889;-145.4222222
9AK4;64.13722222;-145.8302778
45AK;63.96194444;-145.47
AA22;64.13277778;-145.8044444
D66;64.05055556;-145.7172222
76AK;64.4675;-144.9208333
29AK;64.04972222;-145.4188889
11AK;63.99972222;-145.5022222
AK09;64.04972222;-145.5022222
BIG;63.995;-145.72
0Z2;63.10805556;-147.5319444
DLG;59.04472222;-158.5055556
AK21;59.1325;-157.7772222
AK23;53.97111111;-166.8772222
EAA;64.77805556;-141.1497222
47AK;61.2925;-149.5325
EEK;60.21361111;-162.0438889
EII;58.18555556;-157.3755556
KKU;58.81111111;-158.5588889
KEK;59.35694444;-157.4711111
ELI;64.615;-162.2705556
MOS;64.69805556;-162.0572222
ENM;62.78611111;-164.4908333
2Z2;65.17583333;-150.2205556
2Z3;64.04194444;-148.8630556
AK28;64.81388889;-147.9186111
31AK;64.83277778;-147.4247222
EIL;64.66555556;-147.1013889
FAI;64.81555556;-147.8586111
AK7;64.19888889;-147.9275
32AK;64.90916667;-147.9138889
AK22;64.82166667;-147.5216667
MTF;64.80666667;-147.7625
AK52;64.88888889;-147.5355556
83AK;65.25638889;-148.8302778
2AK1;64.36361111;-147.3638889
2AK2;64.45333333;-147.5636111
FBK;64.8375;-147.6144444
KFP;54.8475;-163.4102778
FWL;62.50666667;-153.8936111
TNW;62.53166667;-153.6111111
3Z1;64.83166667;-166.1316667
FVM;65.92694444;-149.84
FLT;62.45277778;-157.9891667
FRN;61.2625;-149.6547222
FYU;66.57138889;-145.2505556
GBH;68.47972222;-149.49
GAL;64.73611111;-156.9375
GAM;63.76666667;-171.7327778
AQY;60.96611111;-149.1258333
KGZ;61.455;-142.3808333
N93;64.55055556;-163.0072222
GNU;59.1175;-161.5775
Z40;61.39444444;-149.8455556
GSZ;65.40222222;-161.2813889
KGX;62.89444444;-160.065
GKN;62.155;-145.4544444
8AK1;62.28027778;-145.3627778
GST;58.42527778;-135.7075
HNS;59.24388889;-135.5236111
4Z2;65.90472222;-163.3291667
HRR;63.8675;-148.9688889
AK33;55.80138889;-160.8991667
2AK5;60.48166667;-146.5841667
2AK6;66.21611111;-155.6694444
HCA;62.18833333;-159.775
46AK;59.73833333;-151.03
0AK7;59.77611111;-150.9586111
AK18;59.82861111;-153.0808333
98AK;59.77583333;-151.1816667
AK17;59.76361111;-151.2233333
HOM;59.64555556;-151.4766667
2AK4;59.47;-151.5125
HNH;58.09611111;-135.4097222
HPB;61.52388889;-166.1466667
5HO;60.90416667;-149.6238889
4Z5;62.00722222;-141.1813889
AK89;61.65694444;-149.8369444
AA33;61.60416667;-149.77
AK29;61.6125;-149.8522222
13AK;61.65472222;-149.9
AA30;61.64805556;-149.8708333
HUS;66.03916667;-154.2647222
HLA;65.69777778;-156.3513889
19AK;59.96888889;-141.6616667
2AK8;70.2925;-161.9033333
IGG;59.32416667;-155.9016667
ILI;59.75555556;-154.9177778
2AK9;65.67361111;-162.4641667
4Z9;59.45222222;-151.5225
AK60;57.885;-157.0969444
JNU;58.355;-134.5763889
AFE;56.96138889;-133.9102778
8AK7;70.17277778;-146.8361111
1KC;64.42444444;-156.8433333
KLG;61.53638889;-160.3413889
KAL;64.31888889;-158.7413889
5Z5;63.54166667;-150.9938889
Z90;63.74861111;-150.3294444
KYK;57.56611111;-154.4538889
Z09;60.87333333;-162.5244444
5KS;60.35333333;-151.2627778
5Z7;59.46888889;-151.5733333
52AK;60.50583333;-151.2463889
6AK3;60.72944444;-151.2780556
8AK2;60.7025;-151.2941667
30AK;60.50277778;-151.26
3AK5;60.58888889;-152.1619444
75AK;60.59305556;-151.3280556
3AK4;60.6325;-151.34
ENA;60.57333333;-151.2447222
KTN;55.35416667;-131.7111111
IAN;66.97583333;-160.4366667
KVC;55.11638889;-162.2661111
AKN;58.67638889;-156.6486111
IIK;59.93305556;-164.0305556
KVL;67.73611111;-164.5636111
AKW;55.57916667;-133.0761111
OBU;66.91222222;-156.8972222
ADQ;57.75;-152.4938889
KDK;57.80583333;-152.3738889
5KO;58.87;-157.0105556
9K2;59.43333333;-154.8025
JZZ;59.72666667;-157.2594444
DUY;59.96083333;-162.8811111
2A9;63.03055556;-163.5327778
OTZ;66.88472222;-162.5986111
KKA;64.93944444;-161.1541667
KYU;64.87583333;-157.7305556
LKK;58.98194444;-155.1213889
UBW;70.33083333;-149.5975
9Z7;58.9625;-156.9322222
KWT;60.79027778;-161.4436111
GGV;59.87638889;-163.1686111
Z55;62.29361111;-146.5794444
2A3;57.535;-153.9766667
9Z9;60.41111111;-149.3702778
9Z8;59.12805556;-156.8586111
2AK;61.35916667;-155.4405556
4AK;65.4725;-148.6691667
AK71;70.91083333;-153.2422222
4AK3;61.37777778;-143.3258333
LSR;65.39611111;-167.1630556
AK45;65.45611111;-167.1755556
4AK5;62.99;-144.48
MLY;64.9975;-150.6441667
MBA;58.93194444;-158.9019444
MDM;61.86416667;-162.0261111
MYK;61.33555556;-142.6866667
0AK5;61.35638889;-142.7333333
AK0;61.21861111;-142.8897222
15Z;61.43694444;-142.9036111
AK31;61.41111111;-143.0011111
MCG;62.95277778;-155.6055556
AK40;63.22916667;-154.7602778
AK06;63.645;-148.7980556
INR;63.7325;-148.9105556
24AK;61.61583333;-149.7069444
MYU;60.37138889;-166.2705556
MDO;59.45;-146.3072222
MHM;63.88611111;-152.3019444
51Z;65.14361111;-149.37
0AK3;62.03583333;-150.4938889
99AK;62.59916667;-157.1516667
MOU;62.09527778;-163.6819444
IBN;62.40194444;-142.9955556
76Z;58.9275;-157.0472222
5NK;58.73277778;-157.02
4AK9;58.73416667;-157.0072222
AK07;59.24111111;-151.8772222
KEB;59.35222222;-151.9252778
4AK8;61.53638889;-158.7388889
WNA;60.69027778;-161.9786111
PKA;60.70277778;-161.7783333
OUL;56.0075;-161.1602778
ENN;64.54722222;-149.0738889
KNW;59.45166667;-157.3730556
EWU;60.93916667;-164.6411111
IGT;60.47111111;-164.7008333
AK73;60.72527778;-151.3022222
FSP;63.01861111;-154.3583333
IKO;52.94166667;-168.8488889
NIN;60.02027778;-151.5894444
WTK;67.56111111;-162.9802778
OME;64.51222222;-165.4452778
94Z;64.51305556;-165.3958333
5NN;59.98027778;-154.8391667
D76;66.8175;-161.0222222
5AK3;64.77305556;-147.3338889
95Z;64.75916667;-147.3877778
AK41;64.54388889;-146.8441667
5AK2;64.73055556;-147.3477778
0AK0;64.3925;-146.8622222
AA76;64.76944444;-147.3294444
ORT;62.96138889;-141.9291667
33AK;62.51722222;-150.9452778
AK20;70.42055556;-150.8866667
AQT;70.21;-151.0055556
NUL;64.72944444;-158.0741667
16A;60.90611111;-162.4405556
ZNC;60.98055556;-159.9936111
6R7;57.21805556;-153.2697222
Z17;63.14611111;-156.53
4K5;57.92277778;-152.5005556
AK46;61.62888889;-149.0433333
3AK6;61.59305556;-149.3022222
AK1;61.53027778;-149.0177778
34AK;61.625;-149.2886111
5AK6;61.55694444;-149.2683333
AK53;61.58222222;-148.9969444
AK88;61.60472222;-149.0402778
14AK;61.6025;-149.2480556
39AK;61.58611111;-149.2361111
5AK9;61.54861111;-149.1902778
AK93;61.65527778;-149.2736111
97AK;61.66388889;-149.2536111
AK66;61.46305556;-148.8041667
82AK;61.61666667;-149.1913889
