AAL,Aalborg Airport,Denmark,9.849164,57.092781,10
AAN,Al Ain International Airport,United Arab Emirates,55.609161,24.261660,869
AAQ,Anapa Airport,Russia,37.347271,45.002090,174
AAR,Aarhus Airport,Denmark,10.619000,56.300011,82
ABA,Abakan International Airport,Russia,91.385002,53.740002,831
ABD,Abadan Airport,Iran,48.228329,30.371111,19
ABE,Allentown Lehigh Valley International Airport,United States,-75.440399,40.652302,393
ABI,Abilene Regional Airport,United States,-99.681801,32.411301,1790
ABJ,Abidjan Port Bouet Airport,Cote D'ivoire (Ivory Coast),-3.926290,5.261386,21
ABQ,Albuquerque International Sunport,United States,-106.609001,35.040218,5355
ABX,Albury Airport,Australia,146.957993,-36.067699,539
ABZ,Aberdeen International Airport,United Kingdom,-2.197770,57.201939,215
ACA,Acapulco International Airport,Mexico,-99.753899,16.757059,16
ACC,Accra Kotoka International Airport,Ghana,-0.166780,5.605186,205
ACE,Lanzarote Airport,Spain,-13.605200,28.945459,47
ACH,St. Gallen Altenrhein Airport,Switzerland,9.560775,47.485031,1306
ACI,Alderney Airport,United Kingdom,-2.214720,49.706108,290
ACK,Nantucket Memorial Airport,United States,-70.060097,41.253052,47
ACT,Waco Regional Airport,United States,-97.230499,31.611280,516
ACV,Eureka Arcata Airport,United States,-124.108002,40.978111,222
ACY,Atlantic City International Airport,United States,-74.577103,39.457581,74
ADA,Adana Sakirpasa Airport,Turkey,35.280380,36.982159,65
ADB,Izmir Adnan Menderes International Airport,Turkey,27.156950,38.292389,412
ADD,Addis Ababa Bole Airport,Ethiopia,38.799309,8.977889,7656
ADL,Adelaide Airport,Australia,138.530502,-34.945000,20
ADQ,Kodiak Airport,United States,-152.492996,57.749962,79
AEP,Buenos Aires Jorge Newbery Airport,Argentina,-58.415600,-34.559101,18
AER,Sochi International Airport,Russia,39.956581,43.449921,89
AES,Alesund Vigra Airport,Norway,6.110164,62.560371,69
AEX,Alexandria International Airport,United States,-92.548500,31.327370,89
AEY,Akureyri Airport,Iceland,-18.072201,65.658607,6
AGA,Agadir Al Massira Airport,Morocco,-9.413060,30.324989,250
AGF,Agen La Garenne Airport,France,0.590619,44.174709,204
AGH,Angelholm Helsingborg Airport,Sweden,12.847130,56.296070,68
AGP,Malaga Costa Del Sol Airport,Spain,-4.499100,36.674900,52
AGS,Augusta Regional Airport,United States,-81.964500,33.369942,144
AGT,Ciudad del Este Guarani International Airport,Paraguay,-54.843334,-25.455278,846
AGU,Aguascalientes International Airport,Mexico,-102.317001,21.705549,6112
AHO,Alghero Fertilia Airport,Italy,8.290772,40.632130,87
AHU,Al Hoceima Cherif Al Idrissi Airport,Morocco,-3.839520,35.177101,95
AJA,Ajaccio Napoleon Bonaparte Airport,France,8.802500,41.923882,16
AJR,Arvidsjaur Airport,Sweden,19.281940,65.590271,1245
AJU,Aracaju Santa Maria Airport,Brazil,-37.070301,-10.984000,23
AKJ,Asahikawa Airport,Japan,142.447495,43.670830,721
AKL,Auckland Airport,New Zealand,174.791595,-37.007999,23
AKN,King Salmon Airport,United States,-156.649002,58.676769,73
AKX,Aktobe Airport,Kazakhstan,57.206661,50.245831,738
ALA,Almaty International Airport,Kazakhstan,77.040497,43.352070,2234
ALB,Albany International Airport,United States,-73.801903,42.749111,285
ALC,Alicante Airport,Spain,-0.558150,38.282162,142
ALF,Alta Airport,Norway,23.371660,69.976112,9
ALG,Algiers Houari Boumediene Airport,Algeria,3.215408,36.691010,82
ALH,Albany Airport,Australia,117.800003,-34.939999,233
ALP,Aleppo International Airport,Syria,37.224350,36.180672,1276
AMA,Amarillo Rick Husband  International Airport,United States,-101.705002,35.219360,3607
AMD,Ahmedabad Sardar Vallabhbhai Patel International Airport,India,72.634651,23.077240,189
AMM,Amman Queen Alia International Airport,Jordan,35.993210,31.722549,2395
AMQ,Ambon Pattimura Airport,Indonesia,128.089096,-3.710260,33
AMS,Amsterdam Schiphol Airport,Netherlands,4.763889,52.308609,11
ANC,Anchorage Ted Stevens International Airport,United States,-149.996002,61.174358,151
ANF,Antofagasta Cerro Moreno International Airport,Chile,-70.445099,-23.444401,455
ANI,Aniak Airport,United States,-159.543060,61.581669,89
